sku,store,name,brand,unit,pack_size,price,stock,description
bebidas-0047,bebidas,Salsa Inglesa Preparada 1L Presentacion Mayoreo,Del Valle,litro,2.0,203.5,48,Salsa tipo inglesa liquida botella de 1 litro. Sazonador liquido para barra de bar y micheladas. Formato institucional mayoreo para alto volumen.
bebidas-0048,bebidas,Salsa Jugo Sazonador 1L Presentacion Mayoreo,Tucan,litro,2.0,249.75,55,Jugo sazonador concentrado 1 litro. Salsa de soya y condimento para bebidas preparadas y carnes. Formato institucional mayoreo para alto volumen.
bebidas-0049,bebidas,Jarabe Natural Liquido 1L Presentacion Mayoreo,Ciel,litro,2.0,333.0,62,Jarabe natural de azucar de cana botella 1L. Almibar simple para cocteles clericot y limonadas. Formato institucional mayoreo para alto volumen.
bebidas-0050,bebidas,Jarabe de Granadina 1L Presentacion Mayoreo,Bonafont,litro,2.0,268.25,69,Jarabe sabor granadina roja 1 litro. Endulzante con color para tequila sunrise y sodas italianas. Formato institucional mayoreo para alto volumen.
bebidas-0051,bebidas,Vino Tinto de Mesa 750ml Presentacion Mayoreo,Penafiel,pieza,1.5,305.25,76,Vino tinto cabernet sauvignon valle de guadalupe 750ml. Vino de la casa para copeo y maridaje de carne. Formato institucional mayoreo para alto volumen.
bebidas-0052,bebidas,Vino Blanco de Mesa 750ml Presentacion Mayoreo,Jarritos,pieza,1.5,259.0,18,Vino blanco sauvignon blanc 750ml. Vino fresco seco para copeo pastas y pescados. Formato institucional mayoreo para alto volumen.
bebidas-0053,bebidas,Tequila Reposado 1L Presentacion Mayoreo,Del Valle,litro,2.0,592.0,25,Tequila reposado 100% agave botella de 1 litro. Destilado de agave para margaritas y copeo en barra. Formato institucional mayoreo para alto volumen.
bebidas-0054,bebidas,Mezcal Espadin Artesanal 750ml Presentacion Mayoreo,Tucan,pieza,1.5,1073.0,32,Mezcal artesanal joven espadin oaxaca 750ml. Destilado ahumado para cocteleria de autor y sal de gusano. Formato institucional mayoreo para alto volumen.
bebidas-0055,bebidas,Ron Blanco Carta Blanca 1L Presentacion Mayoreo,Ciel,litro,2.0,462.5,1,Ron blanco tradicional botella 1 litro. Licor de cana para cubas mojitos y cocteles tropicales. Formato institucional mayoreo para alto volumen.
bebidas-0056,bebidas,Vodka Clasico 1L Presentacion Mayoreo,Bonafont,litro,2.0,666.0,46,Vodka destilado de trigo 1 litro. Destilado neutro premium para martinis rusos y combinados. Formato institucional mayoreo para alto volumen.
bebidas-0057,bebidas,Leche Entera Ultrapasteurizada 1L Presentacion Mayoreo,Penafiel,caja,24.0,573.5,53,Leche entera caja con 12 litros tetra pak. Leche de vaca para espumar en cafetera y malteadas. Formato institucional mayoreo para alto volumen.
bebidas-0058,bebidas,Leche Deslactosada 1L Presentacion Mayoreo,Jarritos,caja,24.0,629.0,60,Leche deslactosada caja 12 piezas de 1 litro. Leche de facil digestion para cafe capuchino y lattes. Formato institucional mayoreo para alto volumen.
bebidas-0059,bebidas,Leche de Almendra sin Azucar 1L Presentacion Mayoreo,Del Valle,caja,16.0,666.0,67,Bebida vegetal de almendra sin endulzar caja 8 litros. Alternativa vegana para baristas y cafeteria. Formato institucional mayoreo para alto volumen.
bebidas-0060,bebidas,Te Negro en Sobres Caja 100 Presentacion Mayoreo,Tucan,caja,200.0,407.0,74,Te negro english breakfast caja con 100 bolsitas. Infusion herbal caliente para servicio de salon. Formato institucional mayoreo para alto volumen.
bebidas-0061,bebidas,Te Verde con Menta Caja 100 Presentacion Mayoreo,Ciel,caja,200.0,323.75,16,Te verde con menta sobrecitos individuales caja 100 piezas. Infusion digestiva antioxidante. Formato institucional mayoreo para alto volumen.
bebidas-0062,bebidas,Concentrado de Horchata 5L Presentacion Mayoreo,Bonafont,pieza,10.0,536.5,23,Jarabe concentrado para agua fresca de horchata garrafa 5L. Rinde 25 litros agua de arroz dulce. Formato institucional mayoreo para alto volumen.
bebidas-0063,bebidas,Concentrado de Jamaica 5L Presentacion Mayoreo,Penafiel,pieza,10.0,545.75,30,Jarabe base flor de jamaica garrafa 5L. Concentrado de jamaica acidita para vitrolero de taqueria. Formato institucional mayoreo para alto volumen.
bebidas-0064,bebidas,Refresco Sabor Naranja 355ml Presentacion Mayoreo,Jarritos,caja,48.0,666.0,37,Refresco frutal sabor naranja lata 355ml paquete 24 piezas. Gaseosa naranja para combos de comida rapida. Formato institucional mayoreo para alto volumen.
bebidas-0065,bebidas,Refresco Cola Regular 355ml Presentacion Compacta,Del Valle,caja,12.0,209.0,44,Refresco de cola en lata 355ml caja de 24 piezas. Soda fria para servicio en mesa y venta individual. Presentacion chica economica ideal para consumo medido.
bebidas-0066,bebidas,Refresco Cola Sin Azucar 355ml Presentacion Compacta,Tucan,caja,12.0,214.5,51,Refresco de cola zero sin azucar lata 355ml pack 24. Opcion light para comensales y refresco embotellado. Presentacion chica economica ideal para consumo medido.
bebidas-0067,bebidas,Refresco Sabor Manzana 355ml Presentacion Compacta,Ciel,caja,12.0,198.0,58,Refresco sabor manzana en lata 355ml caja 24 pzas. Chesco dulce para taquerias y loncherias. Presentacion chica economica ideal para consumo medido.
bebidas-0068,bebidas,Refresco Toronja 355ml Presentacion Compacta,Bonafont,caja,12.0,203.5,65,Refresco sabor toronja lata 355ml caja de 24. Ideal para preparar palomas con tequila o micheladas. Presentacion chica economica ideal para consumo medido.
bebidas-0069,bebidas,Agua Mineral con Gas 355ml Presentacion Compacta,Penafiel,caja,12.0,187.0,72,Agua mineral de manantial gasificada en lata 355ml. Sifoncito mineral para mezclas y cocteleria. Presentacion chica economica ideal para consumo medido.
bebidas-0070,bebidas,Agua Mineral 600ml Presentacion Compacta,Jarritos,caja,12.0,231.0,79,Agua mineral de vidrio 600ml caja 24 botellas. Agua gasificada premium para mesa de restaurante. Presentacion chica economica ideal para consumo medido.
bebidas-0071,bebidas,Agua Purificada sin Gas 500ml Presentacion Compacta,Del Valle,caja,12.0,115.5,21,Agua embotellada natural sin gas pet 500ml paquete 24 piezas. Agua pura para hidratacion de clientes. Presentacion chica economica ideal para consumo medido.
bebidas-0072,bebidas,Agua Purificada Garrafon 20L Presentacion Compacta,Tucan,pieza,10.0,30.25,28,Garrafon de agua purificada ligera 20 litros. Agua en bidon para consumo de cocina y cafetera. Presentacion chica economica ideal para consumo medido.
bebidas-0073,bebidas,Cerveza Clara Lager 355ml Presentacion Compacta,Ciel,caja,12.0,264.0,35,Cerveza clara tipo lager botella 355ml cartocito de 24 chelas. Cerveza mexicana para maridaje. Presentacion chica economica ideal para consumo medido.
bebidas-0074,bebidas,Cerveza Ambar Viena 355ml Presentacion Compacta,Bonafont,caja,12.0,269.5,42,Cerveza ambar de barril en botella 355ml caja 24. La chela viena tradicional para tacos y garnachas. Presentacion chica economica ideal para consumo medido.
bebidas-0075,bebidas,Cerveza Oscura Negra 355ml Presentacion Compacta,Penafiel,caja,12.0,280.5,49,Cerveza oscura tipo munich lata 355ml caja 24. Cerveza negra para cortes de carne y asador. Presentacion chica economica ideal para consumo medido.
bebidas-0076,bebidas,Jugo de Naranja Natural 1L Presentacion Compacta,Jarritos,pieza,0.5,20.9,56,Jugo pasteurizado sabor naranja tetra pak 1 litro. Zumo citrico para desayunos buffet y cocteleria. Presentacion chica economica ideal para consumo medido.
bebidas-0077,bebidas,Jugo de Manzana 1L Presentacion Compacta,Del Valle,pieza,0.5,19.8,63,Jugo dulce de manzana 1L tetra brik. Nectar de fruta para barra infantil y desayunos. Presentacion chica economica ideal para consumo medido.
bebidas-0078,bebidas,Jugo de Tomate y Almeja 946ml Presentacion Compacta,Tucan,pieza,0.47,35.75,70,Jugo de tomate sazonado clamato 946ml. Mezclador indispensable para micheladas cubanas y mariscos. Presentacion chica economica ideal para consumo medido.
bebidas-0079,bebidas,Salsa Inglesa Preparada 1L Presentacion Compacta,Ciel,litro,0.5,60.5,77,Salsa tipo inglesa liquida botella de 1 litro. Sazonador liquido para barra de bar y micheladas. Presentacion chica economica ideal para consumo medido.
bebidas-0080,bebidas,Salsa Jugo Sazonador 1L Presentacion Compacta,Bonafont,litro,0.5,74.25,19,Jugo sazonador concentrado 1 litro. Salsa de soya y condimento para bebidas preparadas y carnes. Presentacion chica economica ideal para consumo medido.
bebidas-0081,bebidas,Jarabe Natural Liquido 1L Presentacion Compacta,Penafiel,litro,0.5,99.0,26,Jarabe natural de azucar de cana botella 1L. Almibar simple para cocteles clericot y limonadas. Presentacion chica economica ideal para consumo medido.
bebidas-0082,bebidas,Jarabe de Granadina 1L Presentacion Compacta,Jarritos,litro,0.5,79.75,1,Jarabe sabor granadina roja 1 litro. Endulzante con color para tequila sunrise y sodas italianas. Presentacion chica economica ideal para consumo medido.
bebidas-0083,bebidas,Vino Tinto de Mesa 750ml Presentacion Compacta,Del Valle,pieza,0.38,90.75,40,Vino tinto cabernet sauvignon valle de guadalupe 750ml. Vino de la casa para copeo y maridaje de carne. Presentacion chica economica ideal para consumo medido.
bebidas-0084,bebidas,Vino Blanco de Mesa 750ml Presentacion Compacta,Tucan,pieza,0.38,77.0,47,Vino blanco sauvignon blanc 750ml. Vino fresco seco para copeo pastas y pescados. Presentacion chica economica ideal para consumo medido.
bebidas-0085,bebidas,Tequila Reposado 1L Presentacion Compacta,Ciel,litro,0.5,176.0,54,Tequila reposado 100% agave botella de 1 litro. Destilado de agave para margaritas y copeo en barra. Presentacion chica economica ideal para consumo medido.
bebidas-0086,bebidas,Mezcal Espadin Artesanal 750ml Presentacion Compacta,Bonafont,pieza,0.38,319.0,61,Mezcal artesanal joven espadin oaxaca 750ml. Destilado ahumado para cocteleria de autor y sal de gusano. Presentacion chica economica ideal para consumo medido.
bebidas-0087,bebidas,Ron Blanco Carta Blanca 1L Presentacion Compacta,Penafiel,litro,0.5,137.5,68,Ron blanco tradicional botella 1 litro. Licor de cana para cubas mojitos y cocteles tropicales. Presentacion chica economica ideal para consumo medido.
bebidas-0088,bebidas,Vodka Clasico 1L Presentacion Compacta,Jarritos,litro,0.5,198.0,75,Vodka destilado de trigo 1 litro. Destilado neutro premium para martinis rusos y combinados. Presentacion chica economica ideal para consumo medido.
bebidas-0089,bebidas,Leche Entera Ultrapasteurizada 1L Presentacion Compacta,Del Valle,caja,6.0,170.5,17,Leche entera caja con 12 litros tetra pak. Leche de vaca para espumar en cafetera y malteadas. Presentacion chica economica ideal para consumo medido.
bebidas-0090,bebidas,Leche Deslactosada 1L Presentacion Compacta,Tucan,caja,6.0,187.0,24,Leche deslactosada caja 12 piezas de 1 litro. Leche de facil digestion para cafe capuchino y lattes. Presentacion chica economica ideal para consumo medido.
bebidas-0091,bebidas,Leche de Almendra sin Azucar 1L Presentacion Compacta,Ciel,caja,4.0,198.0,31,Bebida vegetal de almendra sin endulzar caja 8 litros. Alternativa vegana para baristas y cafeteria. Presentacion chica economica ideal para consumo medido.
bebidas-0092,bebidas,Te Negro en Sobres Caja 100 Presentacion Compacta,Bonafont,caja,50.0,121.0,38,Te negro english breakfast caja con 100 bolsitas. Infusion herbal caliente para servicio de salon. Presentacion chica economica ideal para consumo medido.
bebidas-0093,bebidas,Te Verde con Menta Caja 100 Presentacion Compacta,Penafiel,caja,50.0,96.25,45,Te verde con menta sobrecitos individuales caja 100 piezas. Infusion digestiva antioxidante. Presentacion chica economica ideal para consumo medido.
bebidas-0094,bebidas,Concentrado de Horchata 5L Presentacion Compacta,Jarritos,pieza,2.5,159.5,52,Jarabe concentrado para agua fresca de horchata garrafa 5L. Rinde 25 litros agua de arroz dulce. Presentacion chica economica ideal para consumo medido.
bebidas-0095,bebidas,Concentrado de Jamaica 5L Presentacion Compacta,Del Valle,pieza,2.5,162.25,59,Jarabe base flor de jamaica garrafa 5L. Concentrado de jamaica acidita para vitrolero de taqueria. Presentacion chica economica ideal para consumo medido.
bebidas-0096,bebidas,Refresco Sabor Naranja 355ml Presentacion Compacta,Tucan,caja,12.0,198.0,66,Refresco frutal sabor naranja lata 355ml paquete 24 piezas. Gaseosa naranja para combos de comida rapida. Presentacion chica economica ideal para consumo medido.
bebidas-0097,bebidas,Refresco Cola Regular 355ml Seleccion Especial,Ciel,caja,24.0,475.0,73,Refresco de cola en lata 355ml caja de 24 piezas. Soda fria para servicio en mesa y venta individual. Calidad seleccionada grado restaurantero premium.
bebidas-0098,bebidas,Refresco Cola Sin Azucar 355ml Seleccion Especial,Bonafont,caja,24.0,487.5,15,Refresco de cola zero sin azucar lata 355ml pack 24. Opcion light para comensales y refresco embotellado. Calidad seleccionada grado restaurantero premium.
bebidas-0099,bebidas,Refresco Sabor Manzana 355ml Seleccion Especial,Penafiel,caja,24.0,450.0,22,Refresco sabor manzana en lata 355ml caja 24 pzas. Chesco dulce para taquerias y loncherias. Calidad seleccionada grado restaurantero premium.
bebidas-0100,bebidas,Refresco Toronja 355ml Seleccion Especial,Jarritos,caja,24.0,462.5,29,Refresco sabor toronja lata 355ml caja de 24. Ideal para preparar palomas con tequila o micheladas. Calidad seleccionada grado restaurantero premium.
bebidas-0101,bebidas,Agua Mineral con Gas 355ml Seleccion Especial,Del Valle,caja,24.0,425.0,36,Agua mineral de manantial gasificada en lata 355ml. Sifoncito mineral para mezclas y cocteleria. Calidad seleccionada grado restaurantero premium.
bebidas-0102,bebidas,Agua Mineral 600ml Seleccion Especial,Tucan,caja,24.0,525.0,43,Agua mineral de vidrio 600ml caja 24 botellas. Agua gasificada premium para mesa de restaurante. Calidad seleccionada grado restaurantero premium.
bebidas-0103,bebidas,Agua Purificada sin Gas 500ml Seleccion Especial,Ciel,caja,24.0,262.5,50,Agua embotellada natural sin gas pet 500ml paquete 24 piezas. Agua pura para hidratacion de clientes. Calidad seleccionada grado restaurantero premium.
bebidas-0104,bebidas,Agua Purificada Garrafon 20L Seleccion Especial,Bonafont,pieza,20.0,68.75,57,Garrafon de agua purificada ligera 20 litros. Agua en bidon para consumo de cocina y cafetera. Calidad seleccionada grado restaurantero premium.
bebidas-0105,bebidas,Cerveza Clara Lager 355ml Seleccion Especial,Penafiel,caja,24.0,600.0,64,Cerveza clara tipo lager botella 355ml cartocito de 24 chelas. Cerveza mexicana para maridaje. Calidad seleccionada grado restaurantero premium.
bebidas-0106,bebidas,Cerveza Ambar Viena 355ml Seleccion Especial,Jarritos,caja,24.0,612.5,71,Cerveza ambar de barril en botella 355ml caja 24. La chela viena tradicional para tacos y garnachas. Calidad seleccionada grado restaurantero premium.
bebidas-0107,bebidas,Cerveza Oscura Negra 355ml Seleccion Especial,Del Valle,caja,24.0,637.5,78,Cerveza oscura tipo munich lata 355ml caja 24. Cerveza negra para cortes de carne y asador. Calidad seleccionada grado restaurantero premium.
bebidas-0108,bebidas,Jugo de Naranja Natural 1L Seleccion Especial,Tucan,pieza,1.0,47.5,20,Jugo pasteurizado sabor naranja tetra pak 1 litro. Zumo citrico para desayunos buffet y cocteleria. Calidad seleccionada grado restaurantero premium.
bebidas-0109,bebidas,Jugo de Manzana 1L Seleccion Especial,Ciel,pieza,1.0,45.0,1,Jugo dulce de manzana 1L tetra brik. Nectar de fruta para barra infantil y desayunos. Calidad seleccionada grado restaurantero premium.
bebidas-0110,bebidas,Jugo de Tomate y Almeja 946ml Seleccion Especial,Bonafont,pieza,0.95,81.25,34,Jugo de tomate sazonado clamato 946ml. Mezclador indispensable para micheladas cubanas y mariscos. Calidad seleccionada grado restaurantero premium.
bebidas-0111,bebidas,Salsa Inglesa Preparada 1L Seleccion Especial,Penafiel,litro,1.0,137.5,41,Salsa tipo inglesa liquida botella de 1 litro. Sazonador liquido para barra de bar y micheladas. Calidad seleccionada grado restaurantero premium.
bebidas-0112,bebidas,Salsa Jugo Sazonador 1L Seleccion Especial,Jarritos,litro,1.0,168.75,48,Jugo sazonador concentrado 1 litro. Salsa de soya y condimento para bebidas preparadas y carnes. Calidad seleccionada grado restaurantero premium.
bebidas-0113,bebidas,Jarabe Natural Liquido 1L Seleccion Especial,Del Valle,litro,1.0,225.0,55,Jarabe natural de azucar de cana botella 1L. Almibar simple para cocteles clericot y limonadas. Calidad seleccionada grado restaurantero premium.
bebidas-0114,bebidas,Jarabe de Granadina 1L Seleccion Especial,Tucan,litro,1.0,181.25,62,Jarabe sabor granadina roja 1 litro. Endulzante con color para tequila sunrise y sodas italianas. Calidad seleccionada grado restaurantero premium.
bebidas-0115,bebidas,Vino Tinto de Mesa 750ml Seleccion Especial,Ciel,pieza,0.75,206.25,69,Vino tinto cabernet sauvignon valle de guadalupe 750ml. Vino de la casa para copeo y maridaje de carne. Calidad seleccionada grado restaurantero premium.
bebidas-0116,bebidas,Vino Blanco de Mesa 750ml Seleccion Especial,Bonafont,pieza,0.75,175.0,76,Vino blanco sauvignon blanc 750ml. Vino fresco seco para copeo pastas y pescados. Calidad seleccionada grado restaurantero premium.
bebidas-0117,bebidas,Tequila Reposado 1L Seleccion Especial,Penafiel,litro,1.0,400.0,18,Tequila reposado 100% agave botella de 1 litro. Destilado de agave para margaritas y copeo en barra. Calidad seleccionada grado restaurantero premium.
bebidas-0118,bebidas,Mezcal Espadin Artesanal 750ml Seleccion Especial,Jarritos,pieza,0.75,725.0,25,Mezcal artesanal joven espadin oaxaca 750ml. Destilado ahumado para cocteleria de autor y sal de gusano. Calidad seleccionada grado restaurantero premium.
bebidas-0119,bebidas,Ron Blanco Carta Blanca 1L Seleccion Especial,Del Valle,litro,1.0,312.5,32,Ron blanco tradicional botella 1 litro. Licor de cana para cubas mojitos y cocteles tropicales. Calidad seleccionada grado restaurantero premium.
bebidas-0120,bebidas,Vodka Clasico 1L Seleccion Especial,Tucan,litro,1.0,450.0,39,Vodka destilado de trigo 1 litro. Destilado neutro premium para martinis rusos y combinados. Calidad seleccionada grado restaurantero premium.
bebidas-0121,bebidas,Leche Entera Ultrapasteurizada 1L Seleccion Especial,Ciel,caja,12.0,387.5,46,Leche entera caja con 12 litros tetra pak. Leche de vaca para espumar en cafetera y malteadas. Calidad seleccionada grado restaurantero premium.
bebidas-0122,bebidas,Leche Deslactosada 1L Seleccion Especial,Bonafont,caja,12.0,425.0,53,Leche deslactosada caja 12 piezas de 1 litro. Leche de facil digestion para cafe capuchino y lattes. Calidad seleccionada grado restaurantero premium.
bebidas-0123,bebidas,Leche de Almendra sin Azucar 1L Seleccion Especial,Penafiel,caja,8.0,450.0,60,Bebida vegetal de almendra sin endulzar caja 8 litros. Alternativa vegana para baristas y cafeteria. Calidad seleccionada grado restaurantero premium.
